Name;Type;RA;Declinaison;Const;PosAng;NGC;Common names
IC0001;**;00:08:27.05;+27:43:03.6;Peg;;;
IC0002;G;00:11:00.88;-12:49:22.3;Cet;142;;
IC0003;G;00:12:06.09;-00:24:54.8;Psc;53;;
IC0004;G;00:13:26.94;+17:29:11.2;Peg;12;;
IC0005;G;00:17:34.93;-09:32:36.1;Cet;9;;
IC0006;G;00:18:55.04;-03:16:33.9;Psc;146;;
IC0007;G;00:18:53.16;+10:35:40.9;Psc;174;;
IC0008;G;00:19:02.72;-03:13:19.5;Psc;129;;
IC0009;G;00:19:43.98;-14:07:18.8;Cet;122;;
IC0010;G;00:20:17.34;+59:18:13.6;Cas;129;;
IC0011;Dup;00:52:59.35;+56:37:18.8;Cas;;281;
IC0012;G;00:20:15.05;-02:39:11.2;Psc;20;;
IC0013;G;00:20:20.09;+07:42:01.8;Psc;162;;
IC0014;**;00:22:31.29;+10:29:24.9;Psc;;;
IC0015;G;00:27:57.59;-00:03:40.6;Cet;91;;
IC0016;G;00:28:07.65;-13:05:38.1;Cet;62;;
IC0017;G;00:28:29.78;+02:38:55.0;Cet;102;;
IC0018;G;00:28:34.96;-11:35:12.1;Cet;29;;
IC0019;G;00:28:39.48;-11:38:26.8;Cet;30;;
IC0020;G;00:28:39.68;-13:00:37.1;Cet;18;;
IC0021;G;00:29:10.43;-00:09:49.6;Cet;6;;
IC0022;G;00:29:33.17;-09:04:50.7;Cet;45;;
IC0023;G;00:30:50.80;-12:43:12.9;Cet;20;;
IC0024;**;00:31:16.63;+30:50:21.5;And;;;
IC0025;G;00:31:12.09;-00:24:26.5;Cet;34;;
IC0026;Dup;00:31:45.94;-13:20:14.9;Cet;;135;
IC0027;G;00:33:06.24;-13:22:17.4;Cet;148;;
IC0028;G;00:33:08.72;-13:27:22.6;Cet;85;;
IC0029;G;00:34:10.80;-02:10:39.5;Cet;160;;
IC0030;G;00:34:14.72;-02:05:04.5;Cet;23;;
IC0031;G;00:34:24.63;+12:16:05.4;Psc;90;;
IC0032;G;00:35:01.69;-02:08:30.1;Cet;1;;
IC0033;G;00:35:05.16;-02:08:15.7;Cet;123;;
IC0034;G;00:35:36.42;+09:07:27.3;Psc;156;;
IC0035;G;00:37:39.88;+10:21:28.7;Psc;18;;
IC0036;G;00:37:49.65;-15:26:28.6;Cet;60;;
IC0037;G;00:38:34.18;-15:21:31.3;Cet;158;;
IC0038;G;00:38:38.76;-15:25:11.4;Cet;65;;
IC0039;Dup;00:39:08.40;-14:10:22.2;Cet;;178;
IC0040;G;00:39:21.40;+02:27:22.4;Cet;14;;
IC0041;G;00:39:40.37;-14:10:27.6;Cet;162;;
IC0042;G;00:41:05.84;-15:25:41.1;Cet;56;;
IC0043;G;00:42:22.06;+29:38:29.9;And;87;;
IC0044;Dup;00:42:15.88;+00:50:43.8;Cet;;223;
IC0045;Other;00:42:36.34;+29:39:18.9;And;;;
IC0046;G;00:42:57.97;+27:15:12.5;And;82;;
IC0047;G;00:42:55.01;-13:44:26.6;Cet;100;;
IC0048;G;00:43:34.47;-08:11:11.4;Cet;172;;
IC0049;G;00:43:56.13;+01:51:01.0;Cet;77;;
IC0050;G;00:46:05.71;-09:30:10.8;Cet;169;;
IC0051;G;00:46:24.22;-13:26:32.5;Cet;55;;
IC0052;G;00:48:23.78;+04:05:30.7;Psc;96;;
IC0053;G;00:50:40.77;+10:36:01.0;Psc;94;;
IC0054;**;00:50:46.85;-02:17:16.0;Cet;;;
IC0055;G;00:51:42.39;+07:43:06.7;Psc;175;;
IC0056;G;00:51:29.94;-12:50:39.5;Cet;116;;
IC0057;G;00:54:48.50;+11:50:28.3;Psc;10;;
IC0058;G;00:55:02.44;-13:40:41.1;Cet;105;;
IC0059;RfN;00:57:28.61;+61:08:37.2;Cas;;;
IC0060;G;00:56:04.23;-13:21:28.5;Cet;48;;
IC0061;G;00:57:07.20;+07:30:25.5;Psc;175;;
IC0062;G;00:58:43.94;+11:48:28.8;Psc;25;;
IC0063;HII;00:59:28.84;+60:54:42.1;Cas;;;
IC0064;G;00:59:24.42;+27:03:32.6;Psc;148;;
IC0065;G;01:00:55.42;+47:40:55.1;And;154;;
IC0066;G;01:00:32.50;+30:47:50.0;Psc;124;;
IC0067;NonEx;01:00:17.66;-06:54:38.7;Cet;;;
IC0068;NonEx;01:00:21.65;-06:56:38.8;Cet;;;
IC0069;G;01:01:23.66;+31:02:27.0;Psc;71;;
IC0070;G;01:01:03.95;+00:03:02.7;Cet;147;;
IC0071;*;01:01:19.26;-06:46:01.8;Cet;;;
IC0072;*;01:01:34.71;-06:46:40.6;Cet;;;
IC0073;G;01:04:52.95;+04:46:01.7;Psc;149;;
IC0074;G;01:05:55.95;+04:05:24.9;Psc;5;;
IC0075;G;01:07:11.61;+10:50:12.8;Psc;31;;
IC0076;G;01:08:11.71;-04:33:16.2;Cet;116;;
IC0077;G;01:08:43.75;-15:25:15.3;Cet;90;;
IC0078;G;01:08:47.70;-15:50:42.3;Cet;126;;
IC0079;G;01:08:49.71;-15:56:54.9;Cet;158;;
IC0080;GPair;01:08:50.90;-15:24:27.0;Cet;;;
IC0080 NED01;G;01:08:50.70;-15:24:32.2;Cet;83;;
IC0080 NED02;G;01:08:51.13;-15:24:22.7;Cet;50;;
IC0081;G;01:09:22.26;-01:41:45.1;Cet;145;;
IC0082;G;01:09:05.79;-16:00:01.1;Cet;93;;
IC0083;G;01:10:29.78;+01:41:21.7;Cet;114;;
IC0084;G;01:11:25.60;+01:38:24.7;Cet;12;;
IC0085;*;01:11:49.55;-00:27:08.9;Cet;;;
IC0086;G;01:13:28.52;-16:14:30.0;Cet;142;;
IC0087;G;01:14:15.79;+00:45:55.2;Cet;66;;
IC0088;G;01:14:31.30;+00:47:30.3;Cet;129;;
IC0089;Dup;01:16:03.61;+04:17:38.8;Psc;;446;
IC0090;G;01:16:30.35;-07:58:37.7;Cet;146;;
IC0091;G;01:18:39.43;+02:33:13.2;Cet;64;;
IC0092;Dup;01:19:48.50;+32:46:04.0;Psc;;468;
IC0093;G;01:19:02.34;-17:03:37.4;Cet;171;;
IC0094;*;01:20:05.49;+32:43:02.4;Psc;;;
IC0095;G;01:19:17.88;-12:34:26.9;Cet;54;;
IC0096;G;01:20:33.22;+29:37:02.1;Psc;44;;
IC0097;Dup;01:20:02.00;+14:51:39.8;Psc;;475;
IC0098;G;01:20:54.88;-12:36:17.0;Cet;55;;
IC0099;G;01:22:27.36;-12:57:09.2;Cet;54;;
IC0100;G;01:22:53.96;-04:38:34.9;Cet;88;;
IC0101;G;01:24:08.55;+09:55:49.9;Psc;124;;
IC0102;G;01:24:26.33;+09:53:11.6;Psc;111;;
IC0103;G;01:24:36.44;+02:02:39.3;Cet;128;;
IC0104;**;01:24:33.60;-01:27:24.2;Cet;;;
IC0105;G;01:24:46.25;+02:04:31.0;Cet;47;;
IC0106;Dup;01:24:41.65;-01:35:13.5;Cet;;530;
IC0107;G;01:25:24.66;+14:51:52.6;Psc;6;;
IC0108;G;01:24:38.96;-12:38:08.1;Cet;4;;
IC0109;G;01:25:13.09;+02:03:58.4;Cet;70;;
IC0110;Other;01:25:46.60;+33:30:52.9;Psc;;;
IC0111;Other;01:26:00.13;+33:29:49.6;Psc;;;
IC0112;G;01:26:03.02;+11:26:34.7;Psc;127;;
IC0113;G;01:26:25.50;+19:11:31.1;Psc;160;;
IC0114;G;01:26:22.58;+09:54:35.8;Psc;154;;
IC0115;G;01:26:54.44;+19:12:52.9;Psc;80;;
IC0116;G;01:26:50.57;-04:58:56.2;Cet;125;;
IC0117;Dup;01:27:25.42;-01:54:46.7;Cet;;560;
IC0118;G;01:27:36.04;-04:59:50.9;Cet;31;;
IC0119;G;01:27:55.02;-02:02:25.7;Cet;77;;
IC0120;G;01:28:12.96;-01:54:55.9;Cet;138;;
IC0121;G;01:28:21.78;+02:30:46.9;Cet;108;;
IC0122;G;01:28:13.20;-14:50:20.0;Cet;14;;
IC0123;G;01:28:51.46;+02:26:47.2;Cet;44;;
IC0124;*;01:29:09.08;-01:56:13.3;Cet;;;
IC0125;G;01:29:18.35;-13:16:47.4;Cet;53;;
IC0126;G;01:29:47.86;-01:59:01.5;Cet;30;;
IC0127;G;01:29:47.61;-06:58:48.2;Cet;110;;
IC0128;G;01:31:23.87;-12:37:27.8;Cet;165;;
IC0129;G;01:31:31.26;-12:39:15.8;Cet;63;;
IC0130;G;01:31:28.74;-15:35:29.8;Cet;27;;
IC0131;HII;01:33:14.58;+30:45:11.7;Tri;;;
IC0132;HII;01:33:15.92;+30:56:44.2;Tri;;;
IC0133;HII;01:33:15.18;+30:53:18.2;Tri;;;
IC0134;*;01:33:25.00;+30:54:02.4;Tri;;;
IC0135;HII;01:34:15.53;+30:37:12.3;Tri;;;
IC0136;*Ass;01:34:16.04;+30:33:43.4;Tri;;;
IC0137;*Ass;01:33:38.91;+30:31:21.0;Tri;;;
IC0138;G;01:33:01.98;-00:41:23.4;Cet;23;;
IC0139;*Ass;01:33:59.24;+30:34:02.8;Tri;;;
IC0140;*Ass;01:33:58.17;+30:33:00.5;Tri;;;
IC0141;G;01:32:51.71;-14:48:52.6;Cet;5;;
IC0142;HII;01:33:55.53;+30:45:28.1;Tri;;;
IC0143;HII;01:34:10.93;+30:46:35.1;Tri;;;
IC0144;G;01:37:40.85;-13:18:52.8;Cet;46;;
IC0145;G;01:38:38.48;+00:44:29.4;Cet;6;;
IC0146;Dup;01:38:39.79;-17:49:52.3;Cet;;648;
IC0147;G;01:39:59.75;-14:51:45.5;Cet;58;;
IC0148;G;01:42:26.97;+13:58:37.3;Psc;45;;
IC0149;G;01:42:25.38;-16:18:01.5;Cet;82;;
IC0150;G;01:42:57.52;+04:12:00.6;Psc;137;;
IC0151;Other;01:43:57.47;+13:12:09.4;Psc;;;
IC0152;Other;01:44:07.39;+13:02:09.1;Psc;;;
IC0153;Other;01:44:36.21;+12:37:44.2;Psc;;;
IC0154;G;01:45:16.27;+10:38:57.1;Psc;66;;
IC0155;Other;01:47:32.33;+60:36:39.0;Cas;;;
IC0156;G;01:45:29.21;+10:33:09.8;Psc;105;;
IC0157;Other;01:45:42.40;+12:52:24.0;Psc;;;
IC0158;G;01:45:53.52;-06:56:08.5;Cet;140;;
IC0159;G;01:46:25.05;-08:38:11.8;Cet;28;;
IC0160;G;01:46:29.56;-13:14:51.8;Cet;85;;
IC0161;G;01:48:43.74;+10:30:28.4;Psc;67;;
IC0162;G;01:48:53.43;+10:31:17.8;Psc;85;;
IC0163;G;01:49:14.99;+20:42:40.7;Ari;90;;
IC0164;G;01:49:08.41;-03:54:15.8;Cet;167;;
IC0165;Dup;01:50:14.02;+27:38:44.4;Tri;;684;
IC0166;OCl;01:52:23.82;+61:51:09.4;Cas;;;
IC0167;G;01:51:08.56;+21:54:46.1;Ari;107;;
IC0168;G;01:50:27.63;-08:31:22.6;Cet;104;;
IC0169;G;01:50:39.36;-12:40:46.6;Cet;76;;
IC0170;G;01:51:57.52;-08:31:03.4;Cet;92;;
IC0171;G;01:55:10.21;+35:16:54.8;Tri;107;;
IC0172;G;01:54:54.23;+00:48:40.4;Cet;95;;
IC0173;G;01:55:57.15;+01:17:06.6;Cet;90;;
IC0174;G;01:56:16.08;+03:45:42.7;Psc;97;;
IC0175;G;01:56:18.86;+01:19:56.7;Cet;9;;
IC0176;G;01:56:53.40;-02:01:08.3;Cet;94;;
IC0177;G;01:57:00.58;-00:05:23.5;Cet;11;;
IC0178;G;01:58:54.87;+36:40:28.9;And;159;;
IC0179;G;02:00:11.50;+38:01:16.8;And;111;;
IC0180;G;02:00:00.41;+23:36:15.6;Ari;150;;
IC0181;G;02:00:02.33;+23:39:31.1;Ari;55;;
IC0182;G;01:59:51.81;+07:24:42.6;Psc;36;;
IC0183;G;01:59:34.05;-05:20:49.7;Cet;98;;
IC0184;G;01:59:51.23;-06:50:25.4;Cet;178;;
IC0185;G;02:00:06.04;-01:31:42.0;Cet;82;;
IC0186;GTrpl;02:00:24.50;-01:33:06.2;Cet;;;
IC0186A;G;02:00:24.00;-01:33:10.3;Cet;33;;
IC0186B;G;02:00:25.45;-01:32:59.3;Cet;0;;
IC0186 NED03;G;02:00:25.40;-01:33:03.0;Cet;101;;
IC0187;G;02:01:30.76;+26:28:51.5;Tri;70;;
IC0188;G;02:01:46.50;+26:32:48.8;Tri;46;;
IC0189;G;02:01:52.91;+23:33:05.4;Ari;86;;
IC0190;G;02:02:07.28;+23:32:59.4;Ari;95;;
IC0191;Dup;02:02:29.33;+18:22:22.8;Ari;;794;
IC0192;G;02:02:32.39;+16:00:51.0;Ari;148;;
IC0193;G;02:02:30.98;+11:05:35.1;Ari;154;;
IC0194;G;02:03:05.22;+02:36:51.3;Psc;14;;
IC0195;G;02:03:44.61;+14:42:33.4;Ari;135;;
IC0196;G;02:03:49.80;+14:44:20.9;Ari;9;;
IC0197;G;02:04:04.93;+02:47:12.6;Psc;54;;
IC0198;G;02:06:03.12;+09:17:44.0;Psc;51;;
IC0199;G;02:06:19.40;+09:13:38.7;Psc;24;;
IC0200;G;02:05:26.64;+31:10:31.2;Tri;92;;
IC0201;G;02:07:15.29;+09:06:54.2;Cet;60;;
IC0202;G;02:07:28.66;+09:10:05.9;Cet;131;;
IC0203;G;02:07:29.65;+09:07:21.5;Cet;10;;
IC0204;G;02:07:27.08;-01:25:48.7;Cet;155;;
IC0205;G;02:07:27.43;-02:05:28.6;Cet;40;;
IC0206;G;02:09:30.68;-06:58:06.2;Cet;130;;
IC0207;G;02:09:39.35;-06:55:19.9;Cet;98;;
IC0208;G;02:08:27.74;+06:23:41.7;Cet;168;;
IC0209;G;02:08:58.71;-07:03:32.1;Cet;82;;
IC0210;G;02:09:28.28;-09:40:49.2;Cet;66;;
IC0211;G;02:11:08.00;+03:51:09.0;Cet;56;;
IC0212;G;02:13:38.26;+16:35:38.2;Ari;84;;
IC0213;G;02:14:04.28;+16:27:21.2;Ari;148;;
IC0214;G;02:14:05.59;+05:10:23.7;Cet;65;;
IC0215;G;02:14:09.46;-06:48:22.8;Cet;78;;
IC0216;G;02:15:55.52;-02:00:54.4;Cet;25;;
IC0217;G;02:16:10.44;-11:55:36.2;Cet;35;;
IC0218;G;02:17:07.25;+01:16:56.4;Cet;75;;
IC0219;G;02:18:38.83;-06:54:12.0;Cet;177;;
IC0220;G;02:19:11.73;-12:46:53.9;Cet;34;;
IC0221;G;02:22:40.90;+28:15:25.1;Tri;16;;
IC0222;G;02:22:47.85;+11:38:18.0;Ari;42;;
IC0223;G;02:22:01.10;-20:44:45.3;Cet;143;;
IC0224;G;02:24:45.14;-12:33:52.1;Cet;130;;
