Name;Type;RA;Declinaison;Const;Hubble
NGC0001;G;00:07:15.84;+27:42:29.1;Peg;Sb
NGC0002;G;00:07:17.11;+27:40:42.1;Peg;Sab
NGC0003;G;00:07:16.80;+08:18:05.9;Psc;S0
NGC0004;G;00:07:24.41;+08:22:25.6;Psc;S?
NGC0005;G;00:07:48.87;+35:21:44.3;And;E
NGC0006;G;00:09:32.70;+33:18:31.2;And;E-S0
NGC0007;G;00:08:20.96;-29:54:54.0;Scl;Sc
NGC0008;**;00:08:45.30;+23:50:20.0;Peg;
NGC0009;G;00:08:54.70;+23:49:01.1;Peg;Sb
NGC0010;G;00:08:34.54;-33:51:30.0;Scl;Sbc
NGC0011;G;00:08:42.50;+37:26:52.5;And;Sa
NGC0012;G;00:08:44.75;+04:36:45.1;Psc;Sc
NGC0013;G;00:08:47.72;+33:26:00.0;And;Sb
NGC0014;G;00:08:46.40;+15:48:56.0;Peg;IB
NGC0015;G;00:09:02.47;+21:37:28.3;Peg;Sa
NGC0016;G;00:09:04.29;+27:43:45.9;Peg;E-S0
NGC0017;G;00:11:06.55;-12:06:26.3;Cet;S0-a
NGC0018;**;00:09:23.10;+27:43:55.5;Peg;
NGC0019;G;00:10:40.87;+32:58:59.1;And;SBbc
NGC0020;Dup;00:09:32.70;+33:18:31.2;And;
NGC0021;G;00:10:46.90;+33:21:10.2;And;Sbc
NGC0022;G;00:09:48.19;+27:49:56.3;Peg;Sb
NGC0023;G;00:09:53.41;+25:55:25.6;Peg;Sa
NGC0024;G;00:09:56.54;-24:57:47.3;Scl;Sc
NGC0025;G;00:09:59.28;-57:01:15.0;Phe;E-S0
NGC0026;G;00:10:25.87;+25:49:54.6;Peg;Sab
NGC0027;G;00:10:32.77;+28:59:46.5;And;Sbc
NGC0028;G;00:10:25.24;-56:59:20.9;Phe;E
NGC0029;Dup;00:10:46.90;+33:21:10.2;And;
NGC0030;**;00:10:50.79;+21:58:37.1;Peg;
NGC0031;G;00:10:38.39;-56:59:11.4;Phe;Sc
NGC0032;*;00:10:53.59;+18:47:45.6;Peg;
NGC0033;**;00:10:56.64;+03:40:33.3;Psc;
NGC0034;Dup;00:11:06.55;-12:06:26.3;Cet;
NGC0035;G;00:11:10.48;-12:01:15.3;Cet;Sb
NGC0036;G;00:11:22.30;+06:23:21.7;Psc;SABb
NGC0037;G;00:11:22.93;-56:57:26.4;Phe;S0
NGC0038;G;00:11:46.99;-05:35:10.6;Psc;Sa
NGC0039;G;00:12:18.86;+31:03:39.9;And;Sc
NGC0040;PN;00:13:01.03;+72:31:19.0;Cep;
NGC0041;G;00:12:47.97;+22:01:24.2;Peg;Sc
NGC0042;G;00:12:56.35;+22:06:01.1;Peg;E-S0
NGC0043;G;00:13:00.75;+30:54:55.0;And;S0
NGC0044;**;00:13:13.40;+31:17:10.5;And;
NGC0045;G;00:14:03.99;-23:10:55.5;Cet;SABd
NGC0046;*;00:14:09.86;+05:59:15.7;Psc;
NGC0047;G;00:14:30.64;-07:10:02.8;Cet;SBbc
NGC0048;G;00:14:02.19;+48:14:05.5;And;SABb
NGC0049;G;00:14:22.43;+48:14:47.8;And;S0
NGC0050;G;00:14:44.57;-07:20:42.3;Cet;E-S0
NGC0051;G;00:14:34.92;+48:15:20.5;And;S0
NGC0052;G;00:14:40.11;+18:34:55.3;Peg;Sbc
NGC0053;G;00:14:42.85;-60:19:43.5;Tuc;SBb
NGC0054;G;00:15:07.67;-07:06:24.2;Cet;SBa
NGC0055;G;00:14:53.60;-39:11:47.9;Scl;SBm
NGC0056;Other;00:15:20.66;+12:26:40.3;Psc;
NGC0057;G;00:15:30.87;+17:19:42.7;Psc;E
NGC0058;Dup;00:14:30.64;-07:10:02.8;Cet;
NGC0059;G;00:15:25.13;-21:26:39.8;Cet;E-S0
NGC0060;G;00:15:58.24;-00:18:12.7;Psc;Sc
NGC0061;GPair;00:16:24.20;-06:19:10.0;Cet;
NGC0061A;G;00:16:24.34;-06:19:18.9;Cet;S0
NGC0061B;G;00:16:24.07;-06:19:07.9;Cet;S0
NGC0062;G;00:17:05.42;-13:29:13.6;Cet;SBa
NGC0063;G;00:17:45.52;+11:27:01.2;Psc;E-S0
NGC0064;G;00:17:30.37;-06:49:28.6;Cet;SBbc
NGC0065;G;00:18:58.71;-22:52:49.3;Cet;E-S0
NGC0066;G;00:19:04.94;-22:56:11.0;Cet;SBb
NGC0067;G;00:18:12.19;+30:03:19.9;And;
NGC0068;G;00:18:18.49;+30:04:18.3;And;E-S0
NGC0069;G;00:18:20.51;+30:02:23.9;And;E-S0
NGC0070;G;00:18:22.54;+30:04:46.5;And;Sbc
NGC0071;G;00:18:23.58;+30:03:47.7;And;E-S0
NGC0072;G;00:18:28.37;+30:02:26.5;And;Sab
NGC0072A;G;00:18:34.3;+30:02:11;And;E
NGC0073;G;00:18:39.01;-15:19:20.1;Cet;SABb
NGC0074;G;00:18:49.34;+30:03:43.1;And;Sbc
NGC0075;G;00:19:26.33;+06:26:57.7;Psc;S0
NGC0076;G;00:19:37.79;+29:56:01.9;And;E
NGC0077;G;00:20:01.65;-22:31:55.6;Cet;E-S0
NGC0078;GPair;00:20:26.60;+00:49:47.0;Psc;
NGC0078A;G;00:20:25.79;+00:49:34.8;Psc;S0-a
NGC0078B;G;00:20:27.51;+00:50:00.8;Psc;S0-a
NGC0079;G;00:21:02.85;+22:33:59.7;And;E
NGC0080;G;00:21:10.85;+22:21:25.9;And;E-S0
NGC0081;G;00:21:13.27;+22:22:58.4;And;
NGC0082;*;00:21:17.55;+22:27:37.3;And;
NGC0083;G;00:21:22.40;+22:26:01.0;And;E
NGC0084;*;00:21:21.25;+22:37:10.9;And;
NGC0085;G;00:21:25.53;+22:30:42.4;And;S0
NGC0085B;G;00:21:29.0;+22:30:21;And;Sbc
NGC0086;G;00:21:28.57;+22:33:23.1;And;S0-a
NGC0087;G;00:21:14.27;-48:37:41.6;Phe;IB
NGC0088;G;00:21:22.12;-48:38:24.6;Phe;S0-a
NGC0089;G;00:21:24.36;-48:39:55.1;Phe;S0-a
NGC0090;G;00:21:51.40;+22:24:00.0;And;SABc
NGC0091;*;00:21:51.72;+22:22:06.1;And;
NGC0092;G;00:21:31.70;-48:37:29.1;Phe;Sa
NGC0093;G;00:22:03.23;+22:24:29.1;And;Sab
NGC0094;G;00:22:13.53;+22:28:59.0;And;
NGC0095;G;00:22:13.54;+10:29:29.7;Psc;SABc
NGC0096;G;00:22:17.71;+22:32:46.5;And;E-S0
NGC0097;G;00:22:30.00;+29:44:43.3;And;E
NGC0098;G;00:22:49.54;-45:16:08.4;Phe;SBbc
NGC0099;G;00:23:59.39;+15:46:13.5;Psc;Sc
NGC0100;G;00:24:02.84;+16:29:11.0;Psc;Sc
NGC0101;G;00:23:54.61;-32:32:10.2;Scl;SABc
NGC0102;G;00:24:36.53;-13:57:22.9;Cet;S0-a
NGC0103;OCl;00:25:16.40;+61:19:24.5;Cas;
NGC0104;GCl;00:24:05.36;-72:04:53.2;Tuc;
NGC0105;G;00:25:16.78;+12:53:01.9;Psc;Sab
NGC0106;G;00:24:43.75;-05:08:55.5;Psc;Sc
NGC0107;G;00:25:42.20;-08:16:58.1;Cet;Sbc
NGC0108;G;00:25:59.73;+29:12:43.4;And;S0-a
NGC0109;G;00:26:14.64;+21:48:26.3;And;Sa
NGC0110;OCl;00:27:25.01;+71:23:29.5;Cas;
NGC0111;Other;00:26:38.41;-02:37:29.9;Cet;
NGC0112;G;00:26:48.73;+31:42:11.9;And;Sb
NGC0113;G;00:26:54.64;-02:30:03.2;Cet;E-S0
NGC0114;G;00:26:58.23;-01:47:10.5;Cet;S0
NGC0115;G;00:26:46.28;-33:40:37.5;Scl;SBbc
NGC0116;G;00:27:05.23;-07:40:05.7;Cet;S0-a
NGC0117;G;00:27:11.07;+01:20:01.4;Cet;S0-a
NGC0118;G;00:27:16.22;-01:46:48.5;Cet;E
NGC0119;G;00:26:57.61;-56:58:41.0;Phe;E-S0
NGC0120;G;00:27:30.08;-01:30:48.5;Cet;S0
NGC0121;GCl;00:26:48.25;-71:32:08.4;Tuc;
NGC0122;*;00:27:38.33;-01:38:25.7;Cet;
NGC0123;*;00:27:39.99;-01:37:39.5;Cet;
NGC0124;G;00:27:52.36;-01:48:36.7;Cet;Sc
NGC0125;G;00:28:50.19;+02:50:19.9;Psc;S0-a
NGC0126;G;00:29:08.10;+02:48:40.0;Psc;S0
NGC0127;G;00:29:12.37;+02:52:21.7;Psc;S0
NGC0128;G;00:29:15.06;+02:51:50.6;Psc;S0
NGC0129;OCl;00:29:58.19;+60:12:40.2;Cas;
NGC0130;G;00:29:18.55;+02:52:13.6;Psc;E-S0
NGC0131;G;00:29:38.52;-33:15:35.1;Scl;SBb
NGC0132;G;00:30:10.71;+02:05:36.4;Cet;SABb
NGC0133;OCl;00:31:16.96;+63:21:09.4;Cas;
NGC0134;G;00:30:21.97;-33:14:38.5;Scl;SABb
NGC0135;G;00:31:45.94;-13:20:14.9;Cet;E-S0
NGC0136;OCl;00:31:30.79;+61:30:33.3;Cas;
NGC0137;G;00:30:58.10;+10:12:30.3;Psc;S0
NGC0138;G;00:30:59.24;+05:09:35.1;Psc;Sa
NGC0139;G;00:31:06.40;+05:04:43.5;Psc;SBab
NGC0140;G;00:31:20.47;+30:47:33.0;And;SBc
NGC0141;G;00:31:17.44;+05:10:47.1;Psc;S0-a
NGC0142;G;00:31:08.08;-22:37:07.2;Cet;SBb
NGC0143;G;00:31:15.62;-22:33:35.8;Cet;SBb
NGC0144;G;00:31:20.67;-22:38:44.6;Cet;Sc
NGC0145;G;00:31:45.74;-05:09:09.5;Cet;Sd
NGC0146;OCl;00:33:03.94;+63:18:32.4;Cas;
NGC0147;G;00:33:12.12;+48:30:31.5;Cas;E
NGC0148;G;00:34:15.50;-31:47:09.6;Scl;S0
NGC0149;G;00:33:50.26;+30:43:24.3;And;S0
NGC0150;G;00:34:15.48;-27:48:12.9;Scl;SBb
NGC0151;G;00:34:02.79;-09:42:19.2;Cet;Sbc
NGC0152;OCl;00:32:52.46;-73:07:13.4;Tuc;
NGC0153;Dup;00:34:02.79;-09:42:19.2;Cet;
NGC0154;G;00:34:19.47;-12:39:22.7;Cet;E
NGC0155;G;00:34:40.08;-10:45:59.4;Cet;S0
NGC0156;**;00:34:35.82;-08:20:24.2;Cet;
NGC0157;G;00:34:46.76;-08:23:47.2;Cet;SABb
NGC0158;**;00:35:05.60;-08:20:44.6;Cet;
NGC0159;G;00:34:35.53;-55:47:23.9;Phe;S0-a
NGC0160;G;00:36:04.06;+23:57:28.4;And;S0-a
NGC0161;G;00:35:33.94;-02:50:55.3;Cet;S0
NGC0162;*;00:36:09.26;+23:57:44.7;And;
NGC0163;G;00:35:59.83;-10:07:18.1;Cet;E
NGC0164;G;00:36:32.91;+02:44:59.2;Psc;
NGC0165;G;00:36:28.92;-10:06:22.2;Cet;Sbc
NGC0166;G;00:35:48.78;-13:36:38.3;Cet;Sa
NGC0167;G;00:35:23.09;-23:22:30.0;Cet;SBc
NGC0168;G;00:36:38.66;-22:35:36.6;Cet;S0-a
NGC0169;G;00:36:51.60;+23:59:27.3;And;Sab
NGC0169A;G;00:36:52.33;+23:59:05.9;And;S0-a
NGC0170;G;00:36:45.82;+01:53:11.3;Cet;E-S0
NGC0171;G;00:37:21.53;-19:56:03.3;Cet;Sab
NGC0172;G;00:37:13.61;-22:35:13.3;Cet;SBbc
NGC0173;G;00:37:12.47;+01:56:32.1;Cet;Sc
NGC0174;G;00:36:58.94;-29:28:40.2;Scl;S0-a
NGC0175;Dup;00:37:21.53;-19:56:03.3;Cet;
NGC0176;OCl;00:35:57.87;-73:09:59.0;Tuc;
NGC0177;G;00:37:34.34;-22:32:57.3;Cet;Sab
NGC0178;G;00:39:08.40;-14:10:22.2;Cet;SBm
NGC0179;G;00:37:46.28;-17:50:58.1;Cet;E
NGC0180;G;00:37:57.70;+08:38:06.7;Psc;Sc
NGC0181;G;00:38:23.21;+29:28:21.3;And;S0-a
NGC0182;G;00:38:12.38;+02:43:42.8;Psc;SABa
NGC0183;G;00:38:29.39;+29:30:40.4;And;E
NGC0184;G;00:38:35.78;+29:26:51.4;And;Sab
NGC0185;G;00:38:57.97;+48:20:14.6;Cas;E
NGC0186;G;00:38:25.30;+03:09:59.2;Psc;S0-a
NGC0187;G;00:39:30.41;-14:39:22.7;Cet;SBc
NGC0188;OCl;00:47:27.53;+85:16:10.7;Cep;
NGC0189;OCl;00:39:35.70;+61:05:40.1;Cas;
NGC0190;GPair;00:38:54.70;+07:03:35.0;Psc;
NGC0190 NED01;G;00:38:54.68;+07:03:45.7;Psc;Sab
NGC0190 NED02;G;00:38:54.73;+07:03:24.2;Psc;E
NGC0191;G;00:38:59.44;-09:00:09.4;Cet;Sc
NGC0191A;G;00:39:00.24;-09:00:52.5;Cet;S0
NGC0192;G;00:39:13.43;+00:51:51.6;Cet;Sa
